Key,Context,Example,Source,de,en-us,es,es-es,fr,it,ja,pt,ru
,,,Character Movement,Charakterbewegung,,Movimiento del personaje,Movimiento del personaje,Déplacement personnage,Movimento personaggio,キャラクターの動き,Movimento de personagem,Движение персонажа
,,,Your account balance will not be affected by this transaction.,Das Guthaben deines Kontos wird durch diese Transaktion nicht beeinflusst.,,Esta transacción no modificará el saldo de tu cuenta.,Esta transacción no modificará el saldo de tu cuenta.,Le solde de votre compte ne sera pas affecté par cette transaction.,I fondi del tuo account non verranno intaccati da questa transazione.,この取引であなたのアカウントは変化しません。,O saldo da sua conta não será afetado por esta transação.,После операции средства не будут списаны с вашей учетной записи.
,,,You already own this item. Your account has not been charged.,Diesen Gegenstand besitzt du bereits. Dein Konto wurde nicht belastet.,,Ya tienes este objeto. No se ha llevado a cabo ningún cobro en tu cuenta.,Ya tienes este objeto. No se ha llevado a cabo ningún cobro en tu cuenta.,Vous possédez déjà cet objet. Votre compte n'a pas été débité.,Possiedi già questo oggetto. Il tuo account non ha subito addebiti.,既にこのアイテムを持っています。アカウントがチャージされませんでした。,Você já possui este item. Nada foi cobrado da sua conta.,У вас уже есть этот предмет. Средства с вашей учетной записи не списаны.
,,,This is a test purchase; your account will not be charged.,Dies ist ein Testkauf. Dein Konto wird dadurch nicht belastet.,,Esta compra es una prueba; no se llevará a cabo ningún cobro en tu cuenta.,Esta compra es una prueba; no se llevará a cabo ningún cobro en tu cuenta.,Ceci est un achat test ; votre compte ne sera pas débité.,Questo è un acquisto di prova; il tuo account non subirà addebiti.,これはテスト購入です。アカウントはチャージされません。,Esta é uma compra de teste. Nada será cobrado da sua conta.,Это тестовая покупка; средства не будут списаны с вашей учетной записи.
,,,This was a test purchase.,Dies war ein Testkauf.,,Esta compra ha sido una prueba.,Esta compra ha sido una prueba.,C'était un achat test.,Questo era un acquisto di prova.,テスト購入でした。,Esta foi uma compra de teste.,Это была тестовая покупка.
,,,Chat,Chat,,Chat,Chat,Chat,Chat,チャット,Chat,Чат
,,,Builders Club,Builders Club,,Builders Club,Builders Club,Builders Club,Builders Club,ビルダーズクラブ,Builders Club,Клуб создателей
,,,Turbo Builders Club,Turbo Builders Club,,Turbo Builders Club,Turbo Builders Club,Turbo Builders Club,Turbo Builders Club,ターボビルダーズクラブ,Turbo Builders Club,Потрясающий клуб создателей
,,,Outrageous Builders Club,Outrageous Builders Club,,Outrageous Builders Club,Outrageous Builders Club,Outrageous Builders Club,Turbo Builders Club,もの凄いビルダーズクラブ,Outrageous Builders Club,Невероятный клуб создателей
,,,Image,Bild,,Imagen,Imagen,Image,Immagine,イメージ,Imagem,Изображение
,,,T-Shirt,T-Shirt,,Camiseta,Camiseta,Tee-shirt,Maglietta,Tシャツ,Camiseta,Футболка
,,,Audio,Audio,,Audio,Audio,Audio,Audio,オーディオ,Áudio,Звук
,,,Mesh,Mesh,,Mesh,Mesh,Maillage,Mesh,メッシュ,Malha,Сетка
,,,Lua,Lua,,Lua,Lua,Lua,Lua,Lua,Lua,Lua
,,,HTML,HTML,,HTML,HTML,HTML,HTML,HTML,HTML,HTML
,,,Text,Text,,Texto,Texto,Texte,Testo,テキスト,Texto,Текст
,,,Hat,Hut,,Sombrero,Sombrero,Chapeau,Cappello,帽子,Chapéu,Головной убор
,,,Place,Ort,,Lugar,Lugar,Emplacement,Località,プレース,Local,Разместить
,,,Model,Modell,,Modelo,Modelo,Modèle,Modello,モデル,Modelo,Модель
,,,Shirt,Shirt,,Camisa,Camisa,Chemise,Camicia,シャツ,Camisa,Рубашка
,,,Pants,Hose,,Pantalones,Pantalones,Pantalon,Pantaloni,パンツ,Calças,Штаны
,,,Decal,Decal,,Adhesivo,Adhesivo,Décalcomanie,Decalcomania,デカール,Decalque,Наклейка
,,,Avatar,Avatar,,Avatar,Avatar,Avatar,Avatar,アバター,Avatar,Аватар
,,,Head,Kopf,,Cabeza,Cabeza,Tête,Testa,頭,Cabeça,Голова
,,,Face,Gesicht,,Cara,Cara,Visage,Faccia,顔,Rosto,Лицо
,,,Gear,Ausrüstung,,Equipamiento,Equipamiento,Équipement,Attrezzatura,ギア,Equipamento,Снаряжение
,,,Cheating/Exploiting,Cheats/Missbrauch,,Trampas/abuso de errores,Trampas/abuso de errores,Triche/Exploitation,Inganno/Sfruttamento,チート/悪用,Trapaça/abuso,Жульничество
,,,Badge,Abzeichen,,Emblema,Emblema,Badge,Contrassegno,バッジ,Emblema,Значок
,,,Group Emblem,Gruppenemblem,,Emblema de grupo,Emblema de grupo,Emblème de groupe,Emblema gruppo,グループエンブレム,Emblema de grupo,Эмблема группы
,,,Animation,Animation,,Animación,Animación,Animation,Animazione,アニメーション,Animação,Анимация
,,,Arms,Arme,,Brazos,Brazos,Bras,Braccia,腕,Braços,Руки
,,,Legs,Beine,,Piernas,Piernas,Jambes,Gambe,脚,Pernas,Ноги
,,,Torso,Körper,,Torso,Torso,Torse,Busto,胴体,Tronco,Корпус
,,,Right Arm,Rechter Arm,,Brazo derecho,Brazo derecho,Bras droit,Braccio destro,右腕,Braço direito,Правая рука
,,,Left Arm,Linker Arm,,Brazo izquierdo,Brazo izquierdo,Bras gauche,Braccio sinistro,左腕,Braço esquerdo,Левая рука
,,,Left Leg,Linkes Bein,,Pierna izquierda,Pierna izquierda,Jambe gauche,Gamba sinistra,左脚,Perna esquerda,Левая нога
,,,Right Leg,Rechtes Bein,,Pierna derecha,Pierna derecha,Jambe droite,Gamba destra,右脚,Perna direita,Правая нога
,,,Choose One,Triff deine Wahl,,Elige uno,Elige uno,Choisir un(e),Scegli,ひとつ選ぶ,Escolha um,Выберите один вариант
,,,Package,Paket,,Paquete,Paquete,Pack,Pacchetto,パッケージ,Pacote,Набор
,,,YouTube Video,YouTube-Video,,Vídeo de YouTube,Vídeo de YouTube,Vidéo YouTube,Video su YouTube,YouTube ビデオ,Vídeo do YouTube,Видео YouTube
,,,Game Pass,Spielpass,,Pase de juego,Pase de juego,Passe de jeu,Pass di gioco,ゲームパス,Passe de jogo,Игровой пропуск
,,,Plugin,Plug-in,,Plugin,Plugin,Plugin,Plug-in,プラグイン,Plugin,Расширение
,,,SolidModel,SolidModel,,SolidModel,SolidModel,SolidModel,Modello solido,ソリッドモデル,SolidModel,Твердая модель
,,,MeshPart,MeshPart,,MeshPart,MeshPart,MeshPart,Parte mesh,メッシュパーツ,SolidModel,Полигональная часть
,,,Hair Accessory,Haar-Accessoire,,Accesorio para el pelo,Accesorio para el pelo,Accessoire de cheveux,Accessorio capelli,ヘアアクセサリ,Acessório de cabelo,Аксессуар для волос
,,,Face Accessory,Gesichts-Accessoire,,Accesorio para la cara,Accesorio para la cara,Accessoire de visage,Accessorio faccia,顔アクセサリ,Acessório de rosto,Аксессуар для лица
,,,Neck Accessory,Hals-Accessoire,,Accesorio para el cuello,Accesorio para el cuello,Accessoire de cou,Accessorio collo,首アクセサリ,Acessório de pescoço,Аксессуар для шеи
,,,Shoulder Accessory,Schulter-Accessoire,,Accesorio para el hombro,Accesorio para el hombro,Accessoire d'épaule,Accessorio spalla,肩アクセサリ,Acessório de ombro,Аксессуар для плеч
,,,Classic,Klassisch,,Clásico,Clásico,Classique,Classica,クラッシック,Clássico,Классика
,,,Front Accessory,Front-Accessoire,,Accesorio frontal,Accesorio frontal,Accessoire avant,Accessorio anteriore,前面アクセサリ,Acessório da frente,Передний аксессуар
,,,Back Accessory,Rücken-Accessoire,,Accesorio trasero,Accesorio trasero,Accessoire arrière,Accessorio posteriore,背面アクセサリ,Acessório de trás,Задний аксессуар
,,,Waist Accessory,Taillen-Accessoire,,Accesorio para la cintura,Accesorio para la cintura,Accessoire de taille,Accessorio vita,ウエストアクセサリ,Acessório de cintura,Аксессуар для талии
,,,Climb Animation,Kletteranimation,,Animación de escalada,Animación de escalada,Animation d'escalade,Animazione scalata,登りアニメーション,Animação de escalada,Анимация подъема
,,,Fall Animation,Fallanimation,,Animación de caída,Animación de caída,Animation de chute,Animazione caduta,落下アニメーション,Animação de queda,Анимация падения
,,,Idle Animation,Untätige Animation,,Animación de inactividad,Animación de inactividad,Animation oisif,Animazione inattività,アイドル状態アニメーション,Animação de inatividade,Анимация ожидания
,,,Jump Animation,Springanimation,,Animación de salto,Animación de salto,Animation de saut,Animazione salto,ジャンプアニメーション,Animação de salto,Анимация прыжка
,,,Run Animation,Laufanimation,,Animación de carrera,Animación de carrera,Animation de course,Animazione corsa,ランアニメーション,Animação de corrida,Анимация бега
,,,Swim Animation,Schwimmanimation,,Animación de natación,Animación de natación,Animation de nage,Animazione nuotata,泳ぎアニメーション,Animação de nado,Анимация плавания
,,,Walk Animation,Gehanimation,,Animación de marcha,Animación de marcha,Animation de marche,Animazione camminata,歩きアニメーション,Animação de caminhada,Анимация ходьбы
,,,Click to Move,Zum Bewegen klicken,,Clic para moverse,Clic para moverse,Cliquer pour se déplacer,Clicca per muovere,クリックして移動,Clique para mover,"Нажмите, чтобы передвигаться"
,,,This item cost more ROBUX than you have available. Please leave this game and go to the ROBUX screen to purchase more.,"Dieser Gegenstand kostet mehr ROBUX, als dir zur Verfügung stehen. Bitte verlasse dieses Spiel, gehe zum ROBUX-Menü und kaufe dort mehr.",,Este objeto cuesta más ROBUX de los que tienes disponibles. Sal de este juego y ve a la pantalla de ROBUX para comprar más.,Este objeto cuesta más ROBUX de los que tienes disponibles. Sal de este juego y ve a la pantalla de ROBUX para comprar más.,Cet objet coûte plus de ROBUX que vous n'en avez. Veuillez quitter le jeu et aller à l'écran ROBUX pour en acheter plus.,Questo oggetto costa più ROBUX di quanti tu ne abbia. Esci dal gioco e vai nella schermata dei ROBUX per acquistarne altri.,このアイテムを買うにはお持ちのROBUXでは足りません。ゲームをやめて購入のためROBUX画面に行ってください。,Este item custa mais ROBUX do que você possui disponível. Saia do jogo e vá para a tela de ROBUX para comprar mais.,"Цена товара превышает имеющееся у вас количество ROBUX. Выйдите из этой игры и перейдите в раздел ROBUX, чтобы купить больше."
,,,This item cost more ROBUX than you can purchase. Please visit www.roblox.com to purchase more ROBUX.,"Dieser Gegenstand kostet mehr ROBUX, als du kaufen kannst. Bitte besuche www.roblox.com, um mehr ROBUX zu kaufen.",,Este objeto cuesta más ROBUX de los que puedes comprar. Visita www.roblox.com para comprar más ROBUX.,Este objeto cuesta más ROBUX de los que puedes comprar. Visita www.roblox.com para comprar más ROBUX.,Cet objet coûte trop de ROBUX pour que vous l'achetiez. Veuillez vous rendre sur www.roblox.com pour acheter plus de ROBUX.,Questo oggetto costa più ROBUX di quanti tu possa acquistarne. Visita il sito www.roblox.com per acquistare altri ROBUX.,このアイテムを買うにはあなたが購入可能なROBUXでは足りません。www.roblox.com にアクセスしてROBUXを追加購入してください。,Este item custa mais ROBUX do que você pode comprar. Visite www.roblox.com para comprar mais ROBUX.,"Цена товара превышает количество ROBUX, которое вы можете купить. Перейдите на страницу www.roblox.com, чтобы приобрести больше ROBUX."
,,,You need {RBX_NUMBER} more {RBX_NAME} to buy this item.,"Du benötigst noch {RBX_NUMBER} weitere {RBX_NAME}, um diesen Gegenstand zu kaufen.",,Necesitas {RBX_NUMBER} {RBX_NAME} más para comprar este objeto.,Necesitas {RBX_NUMBER} {RBX_NAME} más para comprar este objeto.,Vous avez besoin de {RBX_NUMBER} {RBX_NAME} de plus pour acheter cet objet.,Hai bisogno di {RBX_NUMBER} {RBX_NAME} in più per comprare questo oggetto.,このアイテムを買うにはあと {RBX_NUMBER} の {RBX_NAME} が必要です。,Você precisa de mais {RBX_NUMBER} {RBX_NAME} para comprar este item.,Для покупки этого товара требуется на {RBX_NUMBER} больше {RBX_NAME}.
,,,Do you allow game to create new place in your inventory?,"Erlaubst du dem Spiel, mehr Platz in deinem Inventar zu schaffen?",,¿Quieres permitir que el juego cree un espacio nuevo en tu inventario?,¿Quieres permitir que el juego cree un espacio nuevo en tu inventario?,Autorisez-vous le jeu à créer un nouvel emplacement dans votre inventaire ?,Vuoi permettere al gioco di creare nuovo spazio nel tuo inventario?,あなたのインベントリに新しい場所を作成しても良いですか？,Você permite que o jogo crie um novo espaço em seu inventário?,Разрешить игре создать новое место в вашем инвентаре?
,,,Hiding Core GUI,Grafische Standard-Benutzeroberfläche verbergen,,Ocultando GUI básica,Ocultando GUI básica,Cacher l'IGU principale,Nascondere interfaccia base,コア GUI を隠す。,Escondendo interface básica,Скрытие элементов основного интерфейса
,,,Ctrl-Shift-G again to restore.,Zum Wiederherstellen erneut Strg-Umschalt-G drücken.,,Vuelve a pulsar Ctrl-Mayús-G para restablecerla.,Vuelve a pulsar Ctrl-Mayús-G para restablecerla.,Ctrl-Maj-G pour la restaurer.,Ancora CTRL-MAIUSC-G per ripristinare.,Ctrl-Shift-G をもう一度押してリストア。,Ctrl-Shift-G de novo para restaurar.,"Снова нажмите Ctrl-Shift-G, чтобы восстановить."
,,,Hiding Custom GUI,Individuelle grafische Benutzeroberfläche verbergen,,Ocultando GUI personalizada,Ocultando GUI personalizada,Cacher l'IGU personnalisée,Nascondere interfaccia personalizzata,カスタムGUIを隠す。,Escondendo interface personalizada,Скрытие элементов пользовательского интерфейса
,,,Ctrl-Shift-C again to restore.,Zum Wiederherstellen erneut Strg-Umschalt-C drücken.,,Vuelve a pulsar Ctrl-Mayús-C para restablecerla.,Vuelve a pulsar Ctrl-Mayús-C para restablecerla.,Ctrl-Maj-C pour la restaurer.,Ancora CTRL-MAIUSC-C per ripristinare.,Ctrl-Shift-Cをもう一度教えてリストア。,Ctrl-Shift-C de novo para restaurar.,"Снова нажмите Ctrl-Shift-C, чтобы восстановить."
,,,"Requested game is full, retrying...",Gewünschtes Spiel ist voll. Neuer Versuch ...,,El juego solicitado está lleno. Intentándolo de nuevo...,El juego solicitado está lleno. Intentándolo de nuevo...,"Le jeu demandé est complet, nouvelle tentative...",Il gioco richiesto è al completo. Nuovo tentativo...,リクエストしたゲームは満員です。リトライ中...,O jogo solicitado está cheio. Tentando de novo...,Запрашиваемая игра переполнена. Новая попытка...
,,,Could not connect to game because game is disabled,"Verbindung zum Spiel konnte nicht hergestellt werden, da das Spiel deaktiviert ist.",,No se ha podido conectar al juego porque está desactivado.,No se ha podido conectar al juego porque está desactivado.,Impossible de se connecter au jeu car il a été désactivé,Impossibile connettersi al gioco perché è disattivato,ゲームが無効なため接続できませんでした。,Impossível conectar pois o jogo está desabilitado,"Не удалось подключиться к игре, так как она недоступна."
,,,Could not connect to game because game failed to start,"Verbindung zum Spiel konnte nicht hergestellt werden, da das Spiel nicht gestartet werden konnte.",,No se ha podido conectar al juego porque no se ha podido iniciar.,No se ha podido conectar al juego porque no se ha podido iniciar.,Impossible de se connecter au jeu car il n'a pas réussi à être lancé,Impossibile connettersi al gioco perché l'avvio non è riuscito,ゲームの起動に失敗したため接続できませんでした。,Impossível conectar pois o jogo não conseguiu iniciar,"Не удалось подключиться к игре, так как она не запустилась."
,,,D/Right Arrow,D/Pfeil rechts,,D/Cursor derecho,D/Cursor derecho,D/Flèche droite,D/Freccia DESTRA,D/右カーソル,D/seta direita,D/стрелка вправо
,,,Could not connect to game because game has ended,"Verbindung zum Spiel konnte nicht hergestellt werden, da das Spiel beendet wurde.",,No se ha podido conectar al juego porque ha terminado.,No se ha podido conectar al juego porque ha terminado.,Impossible de se connecter au jeu car il est terminé,Impossibile connettersi al gioco perché è terminato,ゲームが終了したため接続できませんでした。,Impossível conectar pois o jogo já acabou,"Не удалось подключиться к игре, так как она завершилась."
,,,Could not connect to game because game is full,"Verbindung zum Spiel konnte nicht hergestellt werden, da das Spiel voll ist.",,No se ha podido conectar al juego porque está lleno.,No se ha podido conectar al juego porque está lleno.,Impossible de se connecter au jeu car il est complet,Impossibile connettersi al gioco perché è al completo,ゲームが満員なため接続できませんでした。,Impossível conectar pois o jogo está cheio,"Не удалось подключиться к игре, так как она переполнена."
,,,Could not connect to game because user you were following has left the game,"Verbindung zum Spiel konnte nicht hergestellt werden, da der Benutzer, dem du gefolgt bist, das Spiel verlassen hat.",,No se ha podido conectar al juego porque el jugador al que seguías ha salido del mismo.,No se ha podido conectar al juego porque el jugador al que seguías ha salido del mismo.,Impossible de se connecter au jeu car l'utilisateur que vous suiviez l'a quitté,Impossibile connettersi al gioco perché l'utente che stavi seguendo è uscito,フォロー中のユーザーがゲームから退出したため接続できませんでした。,Impossível conectar pois o usuário que você estava seguindo saiu do jogo,"Не удалось подключиться к игре, так как игрок, за которым вы последовали, ее покинул."
,,,Could not connect to game because it is not available for your platform,"Verbindung zum Spiel konnte nicht hergestellt werden, da es für deine Plattform nicht verfügbar ist.",,No se ha podido conectar al juego porque no está disponible para tu plataforma.,No se ha podido conectar al juego porque no está disponible para tu plataforma.,Impossible de se connecter au jeu car il n'est pas disponible sur votre plateforme,Impossibile connettersi al gioco perché non è disponibile per la tua piattaforma,プラットフォームが非対応なため接続できませんでした。,Impossível conectar pois o jogo não está disponível para a sua plataforma,"Не удалось подключиться к игре, так как она недоступна на вашей платформе."
,,,Could not connect to game due to join script failure,"Verbindung zum Spiel konnte nicht hergestellt werden, da ein Problem mit dem Beitrittsskript aufgetreten ist.",,No se ha podido conectar al juego a causa de un error en el script de unión.,No se ha podido conectar al juego a causa de un error en el script de unión.,Impossible de se connecter au jeu du fait d'un échec du script pour le rejoindre,Impossibile connettersi al gioco per un errore dello script di accesso,参加スクリプトの失敗により接続できませんでした。,Impossível conectar devido a uma falha no script de entrada,Не удалось подключиться к игре из-за ошибки в сценарии подключения.
,,,"Game join request expired or invalid, please try again.",Anfrage zum Spielbeitritt abgelaufen oder ungültig. Bitte versuche es erneut.,,La solicitud para unirse al juego ha caducado o no es válida. Inténtalo de nuevo.,La solicitud para unirse al juego ha caducado o no es válida. Inténtalo de nuevo.,"La demande pour rejoindre le jeu a expirée ou est invalide, veuillez réessayer.",Richiesta di accesso al gioco scaduta o non valida. Riprova.,ゲーム参加リクエストが期限切れか無効です。やり直してください。,Pedido de entrada no jogo expirado ou inválido. Tente novamente.,"Срок приглашения в игру истек, или оно является недействительным. Повторите попытку."
,,,"Could not connect to game, please try again later.",Verbindung zum Spiel konnte nicht hergestellt werden. Bitte versuche es später erneut.,,No se ha podido conectar al juego. Inténtalo de nuevo más tarde.,No se ha podido conectar al juego. Inténtalo de nuevo más tarde.,"Impossible de se connecter au jeu, veuillez réessayer plus tard.",Impossibile connettersi al gioco. Riprova più tardi.,ゲームに接続できませんでした。しばらくしてからやり直してください。,Impossível conectar ao jogo. Tente de novo mais tarde.,Не удалось подключиться к игре. Повторите попытку позже.
,,,Confirm Unblock,Aufhebung der Sperre bestätigen,,Confirmar desbloqueo,Confirmar desbloqueo,Confirmer le déblocage,Conferma sblocco,ブロック解除を確認,Confirmar desbloqueio,Подтверждение разблокировки
,,,Error Blocking Player,Fehler beim Sperren des Spielers,,Error al bloquear al jugador,Error al bloquear al jugador,Erreur en bloquant le joueur,Errore di blocco giocatore,プレーヤーブロックエラー,Erro ao bloquear jogador,Ошибка блокировки игрока
,,,Confirm Block,Sperre bestätigen,,Confirmar bloqueo,Confirmar bloqueo,Confirmer le blocage,Conferma blocco,ブロックを確認,Confirmar bloqueio,Подтверждение блокировки
,,,Dating,Dating,,Solicitud de cita,Solicitud de cita,Drague,Appuntamento,デートの誘い,Namoro,Флирт
,,,Error Unblocking Player,Fehler beim Aufheben der Sperre des Spielers,,Error al desbloquear al jugador,Error al desbloquear al jugador,Erreur en levant le blocage du joueur,Errore di sblocco giocatore,プレーヤーブロック解除エラー,Erro ao desbloquear jogador,Ошибка разблокировки игрока
,,,An error occurred while unfriending {RBX_NAME}. Please try again later.,Bei der Entfernung von {RBX_NAME} als Freund ist ein Fehler aufgetreten. Bitte versuche es später erneut.,,Se ha producido un error al cancelar la amistad con {RBX_NAME}. Inténtalo de nuevo más tarde.,Se ha producido un error al cancelar la amistad con {RBX_NAME}. Inténtalo de nuevo más tarde.,Une erreur est survenue lors de la suppression de l'ami {RBX_NAME}. Veuillez réessayer plus tard.,Si è verificato un errore nel togliere l'amicizia a {RBX_NAME}. Riprova più tardi.,{RBX_NAME}を友達解除する際にエラーが発生しました。しばらくしてからやり直してください。,Um erro ocorreu ao cancelar amizade com {RBX_NAME}. Tente de novo mais tarde.,При удалении пользователя {RBX_NAME} из друзей произошла ошибка. Повторите попытку позже.
,,,Okay,Okay,,Aceptar,Aceptar,D'accord,OK,OK,Ok,ОК
,,,Send Request,Anfrage senden,,Enviar solicitud,Enviar solicitud,Envoyer demande,Invia richiesta,リクエスト送信,Enviar pedido,Отправить запрос
,,,You can not send a friend request because you are at the max friend limit.,"Du kannst keine Freundesanfrage senden, da du die max. Anzahl an Freunden erreicht hast.",,No puedes enviar una solicitud de amistad porque has alcanzado el límite máximo de amigos.,No puedes enviar una solicitud de amistad porque has alcanzado el límite máximo de amigos.,Vous ne pouvez pas envoyer une demande d'ami car vous avez atteint votre limite maximale d'amis.,Non puoi inviare una richiesta di amicizia perché hai raggiunto il limite massimo di amici.,最大友達数に達したため友達リクエストが送れません。,Você não pode enviar um pedido de amizade pois você alcançou o limite máximo de amigos.,Вы не можете отправить запрос дружбы: количество ваших друзей достигло максимума.
,,,Friend Limit Reached,Max. Anzahl an Freunden erreicht,,Has alcanzado el límite de amigos,Has alcanzado el límite de amigos,Limite d'amis atteinte,Limiti di amici raggiunto,友達,Limite de amigos alcançado,Достигнуто максимальное количество друзей
,,,Decline,Ablehnen,,Rechazar,Rechazar,Décliner,Declina,拒否する,Recusar,Отклонить
,,,Account: 13+,Konto: 13+,,Cuenta: 13+,Cuenta: 13+,Compte : 13+,Account: più di 13 anni,アカウント:13+,Conta: 13+,Учетная запись: 13+
,,,Send Game Invites,Spieleinladungen senden,,Enviar invitaciones al juego,Enviar invitaciones al juego,Envoyer des invitations,Manda inviti di gioco,ゲームへの招待を送る,Enviar convites,Отправить приглашения
,,,Safe Zone,Sichere Zone,,Zona segura,Zona segura,Zone sécurisée,Zona sicura,セーフゾーン,Zona de segurança,Безопасная зона
,,,Adjust,Anpassen,,Ajustar,Ajustar,Ajuster,Modifica,調節,Ajustar,Настроить
,,,Joining server,Serverbeitritt,,Uniéndose al servidor...,Uniéndose al servidor...,Connexion au serveur...,Connessione al server,サーバーに接続中,Entrando no servidor,Подключение к серверу
,,,Account: <13,Konto: <13,,Cuenta: <13,Cuenta: <13,Compte : <13,Account: <13,アカウント: <13,Conta: <13,Учетная запись: <13
,,,DynamicThumbstick,Dynamischer Thumbstick,,Pulsador dinámico,Pulsador dinámico,Thumbstick Dynamique,Pattina dinamica,ダイナミックなつまみ,Thumbstick Dinâmico,Динамический джойстик
,,,Default (Classic),Standard (Klassisch),,Predeterminado (clásico),Predeterminado (clásico),Par défaut (Classique),Predefinita (Classica),デフォルト (クラッシック),Padrão (clássico),По умолчанию (классика)
,,,Accept Friend Request,Freundschaftsanfrage akzeptieren,,Aceptar solicitud de amistad,Aceptar solicitud de amistad,Accepter l'invitation d'un ami,Accetta la richiesta di amicizia,友人のリクエストを受け入れる,Aceitar solicitação de amizade,Принять запрос друга
,,,Decline Friend Request,Freundschaftsanfrage ablehnen,,Rechazar solicitud de amistad,Rechazar solicitud de amistad,Refuser la demande d'ami,Declinare la richiesta di un amico,フレンドリクエストを拒否する,Rejeitar pedido de amizade,Отклонить запрос друга
,,,Developer Console,Entwicklerkonsole,,Consola de desarrollo,Consola de desarrollo,Console de développement,Console sviluppatore,デベロッパーコンソール,Console de desenvolvimento,Консоль разработчика
,,,Open,Öffnen,,Abrir,Abrir,Ouvert(e),Apri,開く,Abrir,Открыть
,,,Revoke Friend Request,Widerruf der Freundschaftsanfrage,,Revocar solicitud de amigo,Revocar solicitud de amigo,Révoquer une demande d'ami,Revoca richiesta amico,フレンドリクエストを取り消す,Revocar pedido de amigo,Отменить запрос друга
,,,Screenshot Taken,Screenshot gespeichert,,Captura tomada,Captura tomada,Capture d'écran prise,Screenshot catturato,撮影したスクリーンショット,Captura de tela salva,Снимок экрана сделан
,,,Check out your screenshots folder to see it.,Sieh ihn dir im Ordner mit den Screenshots an.,,Puedes verla en la carpeta de capturas de pantalla.,Puedes verla en la carpeta de capturas de pantalla.,Ouvrez le dossier des captures d'écran pour la visualiser.,Vai nella cartella screenshot per vederlo.,確認するにはスクリーンショットフォルダをチェック。,Confira sua pasta de capturas de tela para vê-la.,"Откройте папку со снимками экрана, чтобы его увидеть."
,,,Open Folder,Ordner öffnen,,Abrir carpeta,Abrir carpeta,Ouvrir le dossier,Apri cartella,フォルダを開く,Abrir pasta,Открыть папку
,,,Video Recorded,Video aufgezeichnet,,Vídeo grabado,Vídeo grabado,Vidéo enregistrée,Video registrato,録画したビデオ,Vídeo gravado,Видео записано
,,,Default (Keyboard),Standard (Tastatur),,Predeterminado (teclado),Predeterminado (teclado),Par défaut (Clavier),Predefinita (Tastiera),デフォルト (キーボード),Padrão (teclado),По умолчанию (клавиатура)
,,,Check out your videos folder to see it.,Sieh es dir im Ordner mit den Videos an.,,Puedes verlo en la carpeta de vídeos.,Puedes verlo en la carpeta de vídeos.,Ouvrez le dossier des captures d'écran pour la visualiser.,Vai nella cartella video per vederlo.,確認するにはビデオフォルダをチェック。,Confira sua pasta de vídeos para vê-lo.,"Откройте папку с видеозаписями, чтобы его увидеть."
,,,Thanks for your report! Our moderators will review the chat logs and evaluate what happened.,"Danke für deine Meldung! Unsere Moderatoren werden sich die Chatprotokolle ansehen und überprüfen, was vorgefallen ist.",,Gracias por denunciarlo. Nuestros moderadores comprobarán el registro del chat para analizar lo sucedido.,Gracias por denunciarlo. Nuestros moderadores comprobarán el registro del chat para analizar lo sucedido.,Merci pour ce signalement ! Nos modérateurs vont examiner le journal de chat et évaluer la situation.,Grazie della segnalazione! I moderatori controlleranno i registri della chat ed esamineranno l'accaduto.,ご報告ありがとうございます！ モデレーターがチャットログから状況を確認致します。,Obrigado por sua denúncia! Nossos moderadores revisarão o histórico de chat e avaliarão o ocorrido.,"Спасибо за сообщение! Наши модераторы просмотрят журнал чата, чтобы оценить ситуацию."
,,,Thanks for your report! We've recorded your report for evaluation.,Danke für deine Meldung! Sie wurde zur Auswertung gespeichert.,,Gracias por denunciarlo. Hemos guardado la denuncia para analizar lo sucedido.,Gracias por denunciarlo. Hemos guardado la denuncia para analizar lo sucedido.,Merci pour ce signalement ! Nous l'avons bien pris en compte et allons l'examiner.,Grazie della segnalazione! La tua segnalazione è stata registrata per essere esaminata.,ご報告ありがとうございます！ レポートは評価のため記録されました。,Obrigado por sua denúncia! Registramos a sua denúncia para que seja avaliada.,Спасибо за сообщение! Оно будет рассмотрено.
,,,Thanks for your report! Our moderators will evaluate the username.,Danke für deine Meldung! Unsere Moderatoren werden den Benutzernamen überprüfen.,,Gracias por denunciarlo. Nuestros moderadores analizarán el nombre de usuario.,Gracias por denunciarlo. Nuestros moderadores analizarán el nombre de usuario.,Merci pour ce signalement ! Nos modérateurs vont examiner le nom de cet utilisateur.,Grazie della segnalazione! I moderatori esamineranno il nome utente.,ご報告ありがとうございます！ モデレーターが該当ユーザー名を確認致します。,Obrigado por sua denúncia! Nossos moderadores avaliarão o nome de usuário.,Спасибо за сообщение! Наши модераторы изучат поведение этого пользователя.
